Time_ms,V1_mV,V2_mV,V3_mV,V4_mV,V5_mV,V6_mV,V7_mV,V8_mV,V9_mV,u1_mV,u2_mV,u3_mV,u4_mV,u5_mV,u6_mV,u7_mV,u8_mV,u9_mV
20,-38.4153995189501,-73.3128678545913,-73.3137946065082,-73.3128666740531,-73.3137936975073,-73.3137945741482,-73.31379242313,-73.3137936425599,-73.3137936737386,-4.87435402968091,1.72786993569683,1.72804519025226,1.72786971235402,1.72804461720598,1.72804506741999,1.72804477718454,1.72804489117663,1.72804551124723
22,12.3811700529326,-73.2843136878817,-73.2998739019465,-73.2843125369162,-73.2998655878094,-73.2998738525096,-73.299871479796,-73.2998728069703,-73.299873033165,-13.8939898105625,2.3129936377966,2.31593736454089,2.31299342004528,2.31593531224287,2.31593734608784,2.31593690629281,2.31593714828554,2.31593784157711
24,17.5571824797722,-73.0062016717578,-73.2859445507152,-73.0062029856756,-73.2858124641583,-73.2859458994605,-73.2859419477592,-73.2859447608987,-73.2859450280963,-14.1896184937455,2.9439956222044,2.99691939359074,2.94399587077918,2.9968947063083,2.99692002002365,2.99691890114201,2.99691980462196,2.99691937257358
26,20.6124536254389,-68.0816566713531,-73.2719857218778,-68.0817050897296,-73.2696127225825,-73.2720107144949,-73.2719829925024,-73.2720095027969,-73.2720097725056,-13.990100708798,2.78986619338808,3.77182020890415,2.78987535361868,3.77137165554964,3.7718253944745,3.7718196925346,3.77182516523429,3.77182491467497
28,22.6066559757095,-0.214467995502505,-73.2576161052094,-0.214684519295808,-73.2131838212068,-73.2580671130423,-73.2576133020799,-73.2580658458437,-73.2580675564678,-13.495255070558,-9.17774404033929,4.64123034920559,-9.17770307637354,4.63282357384845,4.64131568419439,4.64122981889221,4.64131544446,4.64131576612572
30,23.9900152470628,15.0380525954898,-73.2357393478313,15.0380350764927,-72.3861445550722,-73.2440917344313,-73.2357366027886,-73.2440904268366,-73.2441184022466,-12.7899143302929,-11.0962992138243,5.60414759317685,-11.0962958994222,5.44341352568139,5.60572768979878,5.60414707384375,5.60572744241562,5.60573281711011
32,24.9816844309184,19.2182851081562,-73.0723309425808,19.2182750172897,-56.6917540034811,-73.2296402004659,-73.0723300244529,-73.2296388676158,-73.2301622763958,-11.915276537468,-10.824904174263,6.63548306077885,-10.8249022651649,3.5364554399667,6.66524445139003,6.63548288707518,6.66524419922151,6.66534262523791
34,25.6971472687663,21.7917977008795,-70.2121577265853,21.7917913210205,10.9122315912222,-73.206166139331,-70.2121915986147,-73.206164845573,-73.2161975856902,-10.8930139078063,-10.1541642389701,7.25198935928888,-10.1541630319717,-8.09586855077383,7.81842356535642,7.25199576751611,7.8184233205903,7.82032117110584
36,26.2031942379106,23.509431936308,-18.9203733968885,23.5094276672333,17.161314004736,-73.0077264990928,-18.9209152839078,-73.0077263083182,-73.2021890939927,-9.73584996272853,-9.22621873786412,-1.19895928822857,-9.22621793039286,-8.02522422584616,9.03378205873638,-1.19885676906713,9.03378202244822,9.07057343469297
38,26.5426549851708,24.7154866703344,14.2029090264802,24.7154837440652,20.5457308865854,-69.3916730995277,14.2028828753902,-69.3916945881491,-73.1874499539204,-8.4518166275512,-8.10613568020152,-6.11726953459252,-8.10613512658247,-7.31726370896905,9.69792092548698,-6.11726458709026,9.69792499089827,10.4160413319833
40,26.7458680666779,25.5812823112735,18.8107237824179,25.581280326319,22.7040056140077,-8.29477805460034,18.8107088614458,-8.29499840220266,-73.1584897276066,-7.04675759356387,-6.82643124955762,-5.54551555786849,-6.8264308740346,-6.28208239372953,-0.417447560872701,-5.54551273499519,-0.417405873494503,11.8540650631789
42,26.8361588379118,26.1996734102024,21.5864310768711,26.1996721338952,24.1778868217478,14.8066836226181,21.5864214745674,14.8066713451459,-72.8488751116793,-5.51998539225367,-5.39956881894231,-4.52679317491713,-5.39956857748221,-5.01706792020364,-3.24413801386863,-4.52679135826699,-3.24413569110127,13.3393462382963
44,26.832538462224,26.6263307465422,23.4140143767948,26.6263300282691,25.2243265006407,19.184612765359,23.4140077432712,19.1846055518417,-66.9816044492452,-3.93238666383302,-3.8933740216751,-3.2856387153567,-3.89337388580025,-3.62812933168197,-2.48548146371031,-3.28563746036585,-2.4854800989784,13.8162353066004
46,26.7510773386978,26.8983960660648,24.688181439472,26.8983957975585,25.9751587637439,21.8469465493314,24.6881766509028,21.8469418051604,3.94570285002405,-2.77268562447964,-2.80055696999955,-2.38240841456627,-2.80055691921093,-2.625890892613,-1.84487710197854,-2.38240750863476,-1.8448762044297,1.54184443791729
48,26.6056184022424,27.043153292162,25.6080930549333,27.0431533885533,26.5046074825449,23.6103336650859,25.6080895060066,23.6103302926576,15.78017927221,-1.85720999019758,-1.9399867129335,-1.66848894282264,-1.93998673117137,-1.83809992873279,-1.29053496171921,-1.66848827140506,-1.29053432368993,0.190846271127657
50,26.4081658022213,27.0821812995819,26.2811969626972,27.0821816918996,26.8591524226286,24.8472671531247,26.2811943275326,24.8472646085875,19.7766444633159,-1.12809306911028,-1.25560932596036,-1.10407192987996,-1.25560940018029,-1.21341482809312,-0.832787627714317,-1.1040714313287,-0.83278714631293,0.126519043186278
52,26.1691273364726,27.0334110683175,26.7629244596221,27.0334117004149,27.0711421853584,25.7444202437404,26.7629225753119,25.7444182552685,22.2491169376437,-0.560244635277468,-0.72375727413771,-0.672584443261959,-0.723757393721251,-0.730895750188748,-0.479894352798792,-0.67258408676937,-0.479893976605804,0.181379148541862
54,25.8974984114441,26.912176314854,27.0851334585818,26.9121771394975,27.1651778265251,26.3973743956758,27.0851322311618,26.3973728393375,23.9120939975461,-0.13960984347616,-0.331575532932695,-0.364297318361035,-0.331575688946229,-0.379440815613466,-0.234180711288102,-0.364297086146532,-0.23418041684553,0.23600734778867
56,25.6010188009258,26.7317628874671,27.2717238268313,26.7317638624311,27.1612059006436,26.8577078221999,27.2717231825105,26.8577066329396,25.0994414633992,0.14288927452692,-0.071035095750401,-0.173189953744805,-0.0710352802030043,-0.152281134702975,-0.0948625529369281,-0.173189831846189,-0.0948623279417168,0.237782324313614
58,25.2863119700957,26.5037132095214,27.3434680789326,26.5037142952943,27.0760643395879,27.1587122414307,27.3434679461862,27.158711370427,25.971879684963,0.272136051534551,0.0418169049922035,-0.117055644454731,0.0418166995754456,-0.0664657434067527,-0.0821018340131709,-0.117055619340658,-0.0821016692289897,0.142434052605977
60,24.9590091658485,26.2380264324832,27.3189162828659,26.2380275913644,26.9242668026676,27.3260288691613,27.3189165878521,27.3260282718815,26.6087432283908,0.350280352273294,0.108304114194822,-0.0961885590744132,0.108303894946958,-0.0215251473643383,-0.0975341852538768,-0.0961886167745792,-0.0975340722551685,0.0381685034787573
62,24.6238619393565,25.9433213164788,27.2145215903677,25.9433225088546,26.7184099724597,27.3811836286542,27.2145222559203,27.3811832602947,27.0553648971926,0.409643595399893,0.16001614544217,-0.0804812031193158,0.160015919857361,0.0133777505871069,-0.112011858862161,-0.0804813290343953,-0.112011789172586,-0.0503704790913285
64,24.2848435531879,25.6269830806077,27.0447324934181,25.6269842588527,26.4694146928122,27.3427791687853,27.0447334382975,27.34277897928,27.3435396226205,0.454600652493226,0.200682361928684,-0.0675404983255403,0.200682139018692,0.0413034092567397,-0.123927705798634,-0.067540677086731,-0.12392766994574,-0.124071577947453
66,23.9452414081666,25.2953001230658,26.8221326716232,25.2953012366412,26.1867085181924,27.2270197503167,26.8221338153626,27.2270196855008,27.4986750659645,0.487842647052992,0.232426133151774,-0.0564340780016942,0.232425922476763,0.063781300798565,-0.133034334853186,-0.0564342943846399,-0.133034322588645,-0.184428585354699
68,23.6077400689105,24.9535893842115,26.5576110566967,24.9535903931991,25.8783874170153,27.0480239750625,26.5576123325449,27.0480239861013,27.5422146358398,0.511301656519344,0.25668151603565,-0.0467820414600355,0.256681325151307,0.0817197270572362,-0.139562863894907,-0.0467822828371948,-0.139562865979055,-0.233058394423132
70,23.2744958499789,24.6063100228196,26.2605410097263,24.6063109072427,25.5513643257691,26.8180542344681,26.2605423782676,26.8180542899162,27.4926670295873,0.526523334542841,0.274558491085717,-0.0384041274052041,0.274558323767281,0.0957644356326425,-0.143879600232381,-0.0384043863100074,-0.143879610718061,-0.271509049227865
